                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4272,                 6.5796,                 4.6876,                 4.0402,                0.41268,                0.23009,                 0.1629,                0.05496,                 0.3223,                0.25795,                0.17466,                0.07083,                 2.8854,                 3.6305,                 3.6905,                  3.142,              0.0033295,              0.0033295,              0.0033295
                      2,                 2.2442,                 3.3349,                 2.8529,                 2.8038,                0.63551,                0.48978,                0.52504,                0.30277,                0.65304,                 0.4905,                0.52265,                0.31613,                 1.8239,                 2.7891,                 2.1239,                 2.2215,              0.0066409,              0.0066409,              0.0066409
                      3,                 1.5589,                 2.7166,                 1.8399,                 1.9612,                0.79329,                0.63238,                0.69253,                0.44836,                0.77051,                 0.6151,                0.65681,                 0.4171,                 1.4295,                 2.3914,                 1.4622,                 1.6993,              0.0099302,              0.0099302,              0.0099302
                      4,                 1.3117,                 2.3935,                 1.4362,                 1.6715,                0.84357,                0.68602,                0.73713,                0.52407,                0.81482,                0.66475,                0.69575,                0.46776,                 1.2043,                 2.1224,                 1.2545,                  1.516,               0.009901,               0.009901,               0.009901
                      5,                 1.1639,                 2.1838,                  1.198,                 1.5228,                0.89075,                0.73019,                0.77861,                0.57428,                0.85087,                0.70183,                0.73693,                0.50252,                  1.095,                 1.8862,                   1.14,                 1.3911,               0.009901,               0.009901,               0.009901
                      6,                 1.0848,                 2.0686,                 1.0658,                 1.4493,                0.88132,                0.76096,                0.80041,                0.60715,                0.85924,                0.73527,                0.76238,                0.53649,                0.98063,                 1.7297,                0.96167,                 1.2923,               0.009868,               0.009868,               0.009868
                      7,                 1.0149,                 1.9545,                0.97575,                  1.388,                0.88286,                0.77498,                0.80709,                0.61588,                0.85853,                0.74854,                0.77019,                0.54203,                0.93114,                 1.6744,                0.93781,                  1.241,               0.009835,               0.009835,               0.009835
                      8,                0.97685,                 1.8841,                0.91572,                 1.3515,                0.90406,                0.78698,                0.82443,                0.64433,                0.88405,                0.76417,                0.78842,                0.56898,                0.87899,                 1.5859,                0.81989,                 1.1887,               0.009802,               0.009802,               0.009802
                      9,                0.94442,                 1.8232,                0.87338,                 1.3264,                0.89642,                 0.8045,                 0.8324,                0.65325,                 0.8767,                0.77975,                0.79892,                0.58554,                 0.8629,                 1.5506,                0.79032,                 1.1753,               0.009769,               0.009769,               0.009769
                     10,                0.91599,                 1.7677,                0.83509,                 1.3006,                0.90064,                0.79571,                0.83845,                0.66669,                0.87781,                0.76457,                0.79814,                0.58601,                0.83235,                 1.5052,                 0.7549,                 1.1413,               0.009736,               0.009736,               0.009736
                     11,                0.89406,                 1.7255,                0.80878,                 1.2866,                0.90793,                0.80178,                 0.8383,                0.67384,                0.88436,                0.77847,                0.79923,                0.59758,                0.80444,                 1.4215,                 0.7242,                 1.1189,               0.009703,               0.009703,               0.009703
                     12,                0.87033,                 1.7107,                0.78678,                 1.2678,                0.89217,                 0.8124,                0.84404,                0.67876,                0.86736,                 0.7843,                0.80477,                0.59758,                0.79493,                 1.4159,                0.71216,                 1.1131,                0.00967,                0.00967,                0.00967
